E,pt,eta,phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741012,607201,-0.647059,1.4353;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623189,345188,-1.19385,1.43546;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934333,367210,-1.5813,1.43623;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685536,434351,-1.0277,-1.43661;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03E+06,936621,0.436685,-1.43713;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724826,657961,0.370165,1.43836;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697898,616608,-0.48919,1.43842;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,825940,-0.813372,1.43856;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+06,756746,0.865984,1.43949;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,599942,1.23109,-1.43984;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570245,438107,0.749538,-1.44004;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768018,629718,-0.647538,-1.44008;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677236,674638,0.0747053,-1.44105;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597941,592703,0.0796822,1.44112;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743118,677603,-0.28857,-1.44278;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719734,623874,0.531145,-1.44296;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983226,975030,0.123175,-1.44332;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264241,262312,-0.0392084,1.44379;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805088,803130,0.0511901,-1.44581;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767457,735260,0.290954,1.446;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899349,618579,-0.91912,1.44607;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922599,836437,-0.433868,-1.44617;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478759,467552,0.0395821,1.44707;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498928,364661,-0.832789,1.44749;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343796,319825,-0.371346,1.44754;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463192,416115,-0.455729,1.45009;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793186,567808,0.855133,1.45064;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724131,359763,1.31962,1.45142;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65E+06,1.53E+06,0.383584,-1.45207;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494787,457638,-0.373767,-1.45444;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585378,499182,0.574555,1.45516;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624818,587271,-0.322797,1.45639;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,626692,1.06187,-1.45642;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373518,279424,0.775584,1.45692;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763462,412661,-1.22232,1.45812;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567356,482484,0.583495,-1.45827;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317773,312386,0.177628,-1.4586;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840614,393968,1.38727,1.45897;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470640,410804,0.499832,-1.45991;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817814,698010,0.576543,-1.45999;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.51E+06,1.08E+06,0.861737,1.4601;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.32E+06,564618,-1.4894,1.4604;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,1.12E+06,-0.0396889,1.4606;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,510134,-1.30733,-1.46074;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39E+06,806049,-1.13354,-1.46089;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838558,755976,-0.45548,-1.46118;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604299,529526,-0.477044,1.46218;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805141,802342,-0.0535974,1.46259;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951676,741913,0.732335,1.4638;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587912,574750,0.206696,-1.46381;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635877,377864,-1.10087,1.46411;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.74E+06,648291,-1.64504,1.4652;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09E+06,473641,-1.46852,1.46552;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533353,456908,0.554968,-1.46592;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847614,810045,0.194557,1.46618;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762664,734099,0.274915,-1.46624;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490294,466374,0.304342,-1.46712;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,1.06E+06,-0.339204,1.46773;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.30E+06,1.24E+06,0.282456,-1.46774;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09E+06,476706,1.46015,-1.46779;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470635,379395,0.676285,1.46788;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994080,620829,-1.04624,-1.46806;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317901,280142,-0.511332,1.46815;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645432,591174,0.419318,1.46936;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933123,840954,-0.460169,1.46998;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01E+06,632967,-1.82193,-1.47028;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.03E+06,799557,1.58548,-1.47035;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712626,584874,-0.648516,-1.47046;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731950,483946,-0.972839,-1.47065;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838317,815406,-0.162723,-1.4725;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.40E+06,954123,0.928344,1.47254;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713350,620101,0.539069,-1.47279;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745153,521823,0.893689,1.47404;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510141,487573,-0.0185786,-1.47444;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.45E+06,1.43E+06,0.164157,1.4752;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594258,544301,0.409828,-1.47528;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958138,929417,-0.0343957,-1.47545;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791207,415656,-1.25863,-1.47734;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25E+06,829696,0.968359,-1.47744;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901902,740266,0.609071,1.47751;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303499,253300,-0.605834,1.47759;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872994,562642,1.00524,-1.47871;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456326,425591,-0.331032,-1.47876;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.57E+06,695511,-1.98075,-1.4791;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203440,190528,-0.354836,1.47922;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616072,485616,-0.709414,-1.47939;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645243,563205,-0.5271,-1.48011;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.11E+06,824328,-0.808415,1.48126;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.90E+06,589178,-1.83513,-1.48211;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895417,674410,0.784386,-1.48236;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799857,697385,-0.534722,1.48238;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.19E+06,2.00E+06,-0.413105,1.48371;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757688,514844,-0.934627,-1.48497;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514477,507666,0.146217,-1.48524;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856429,606647,0.859264,-1.48535;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638541,536892,0.597251,-1.48557;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692919,685366,0.0530947,-1.48616;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69E+06,423865,2.0607,-1.48633;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777894,591684,-0.771044,1.48644;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511235,493474,0.25576,1.48649;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586898,481881,0.645773,1.4867;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35E+06,506143,1.63639,1.48691;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383741,377402,0.16393,1.48893;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916290,827713,-0.412449,1.48902;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575068,370664,0.992727,1.48938;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404367,261758,0.978884,-1.49057;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321871,314134,-0.157715,1.49064;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485237,478471,0.117171,1.49075;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.79E+06,915575,-1.77818,-1.4908;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,452243,1.48749,-1.49151;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843797,519582,1.06402,1.492;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.25E+06,565015,-2.05826,1.49267;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E+06,839417,0.68409,-1.49312;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960506,905466,0.334033,-1.49314;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800754,298568,1.64057,1.49364;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549272,385951,-0.888632,1.49521;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641790,200907,-1.82677,1.49558;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730231,635802,0.536078,1.49603;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575206,546869,-0.309077,-1.49733;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950532,638641,-0.941417,-1.49795;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825032,539981,0.983203,-1.49798;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693944,289569,-1.51913,-1.49803;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913403,392175,-1.48539,1.49811;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.65E+06,801346,-1.34728,1.49821;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909434,824642,-0.445195,1.49922;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+06,510287,-1.72769,-1.49964;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.24E+06,542622,-2.09747,1.49977;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689280,677598,-0.165824,1.50016;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450559,440644,0.142186,1.50027;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48E+06,1.39E+06,-0.337675,-1.50031;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.29E+06,428105,1.75911,-1.50061;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739370,469510,1.01516,1.50072;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558342,310074,1.19003,-1.50082;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788833,723965,-0.389193,1.50107;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.43E+06,946041,-0.936248,-1.50131;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332134,328924,0.0289347,1.50239;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796490,792974,0.0685552,-1.5028;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552662,476234,-0.525571,1.50292;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14E+06,678138,1.1076,-1.50306;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250432,241502,-0.265365,-1.50399;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705272,649575,-0.387074,1.50403;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763188,510623,0.95134,1.50434;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743417,391777,1.25466,-1.50554;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533805,404258,0.777321,-1.50581;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536978,464947,-0.543529,-1.50654;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635048,560305,-0.497729,1.50662;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530841,354118,-0.955125,1.50743;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719505,626323,0.52953,1.5077;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519972,492937,-0.258673,1.50775;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551128,355571,-0.999873,1.50835;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964729,864367,-0.474157,1.50842;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420359,407389,-0.024025,1.50892;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366748,364738,-0.0650374,1.50976;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55E+06,574006,1.6504,-1.51003;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05E+06,1.22E+06,1.10925,1.51015;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422276,420194,0.084186,1.51021;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,953202,-0.329257,-1.51064;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.06E+06,519596,2.05365,-1.51127;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885602,332972,1.62926,-1.51141;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+06,542962,-1.28814,1.51146;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.20E+06,845407,-0.886241,-1.51172;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518621,429289,0.628749,-1.51207;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468457,380948,-0.657304,1.51222;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21E+06,529685,1.46461,-1.51222;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541763,537323,-0.0679013,1.51254;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404731,376348,0.375518,-1.51325;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321615,313799,-0.12435,-1.51361;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604502,411835,-0.92933,-1.51371;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681361,467868,-0.922049,1.51407;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632017,422057,-0.948642,1.51414;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613686,317068,1.26605,1.51437;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985561,599123,1.08108,-1.51461;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525129,501371,0.242904,1.51522;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866226,842777,0.225015,-1.5159;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252909,249714,0.0462181,-1.5163;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849297,811813,-0.289262,1.5174;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930010,418119,1.43617,1.51859;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837767,760672,0.430242,-1.5192;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392576,388926,-0.117916,1.51971;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895814,511164,1.15916,1.52;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480580,393479,-0.650744,-1.52057;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.11E+06,695998,1.04167,-1.52083;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+06,680394,-1.00277,1.52097;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33E+06,938813,-0.873928,1.52195;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771252,505567,0.980682,-1.52235;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.54E+06,571991,1.64263,1.52251;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650002,649340,-0.031294,-1.52309;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606114,574020,0.265577,1.52427;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590529,584293,-0.130011,1.52469;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571590,509501,0.465672,1.52499;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509225,491053,0.237789,-1.52542;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981847,473888,1.34352,1.5259;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590457,413319,0.877933,1.52613;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28E+06,1.17E+06,-0.405797,1.5265;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733189,673013,-0.403308,-1.52709;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714568,577596,-0.671327,1.52845;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21E+06,775188,-1.00938,-1.5285;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563431,519836,0.345665,-1.52961;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514237,449241,-0.517045,1.53009;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862441,802848,-0.352083,-1.53102;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53E+06,344980,-2.16849,-1.53134;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759964,720176,-0.318956,1.53136;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.70E+06,1.50E+06,-0.495192,1.53139;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620437,525967,0.579963,-1.5324;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872727,572357,0.95878,1.53262;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,795587,-0.698418,-1.53297;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861950,448881,-1.26514,1.53427;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461705,373691,0.62776,1.53557;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.29E+06,645509,-1.31183,-1.53559;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784038,530257,-0.939686,-1.53597;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611857,489298,0.67264,1.53684;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,438358,-1.48709,1.53718;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382660,354295,-0.376224,-1.53834;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534952,315785,1.1166,-1.53839;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460932,416849,0.438245,-1.53865;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543703,473835,0.508198,-1.53875;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555179,552908,-0.0818971,1.53961;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811771,621339,0.74046,-1.53961;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939153,586282,1.04546,-1.54012;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826842,768779,-0.343986,-1.54143;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593921,575328,-0.17376,1.54287;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288484,268099,0.257864,1.54289;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289780,274443,0.322483,-1.54403;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804235,590662,0.821727,1.54488;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44E+06,794621,-1.19689,-1.54526;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02E+06,503360,-1.33099,1.54541;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,512064,-1.29349,-1.54545;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657462,651945,-0.026161,1.54651;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01E+06,638982,-1.02144,1.54659;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342636,309972,-0.426973,-1.54744;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363866,354868,-0.209375,-1.54766;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620802,568951,0.422194,1.54819;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859222,587320,0.927744,-1.55055;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870961,730252,-0.59559,1.55213;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03E+06,751662,-0.83049,-1.55213;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324399,265557,-0.649667,-1.55245;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396829,225696,1.14958,-1.55265;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646614,525526,-0.665245,1.55323;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584706,515967,-0.494321,1.55338;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396949,384188,-0.230531,-1.55349;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871958,606209,-0.900195,1.55391;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612468,603060,-0.1475,1.55431;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730340,473531,-0.981467,1.55526;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815933,593254,0.816252,-1.55607;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693253,685150,-0.0311636,-1.55647;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502904,430616,-0.520963,-1.55908;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717591,478346,-0.961734,-1.56019;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509135,372205,-0.817952,1.5603;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683870,674881,-0.0333779,1.56055;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767447,757036,-0.148339,-1.56063;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296713,285888,-0.247998,1.56214;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767163,737303,0.208402,1.56273;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557346,542577,-0.217704,1.56527;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274207,247802,-0.444967,-1.56536;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936707,616229,0.973383,-1.56592;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996056,954005,-0.0549172,1.56801;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524307,387258,-0.813465,-1.56814;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653072,611984,0.329084,-1.56827;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653789,641627,-0.126107,1.5686;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415727,222467,-1.2341,-1.56907;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585785,413702,0.882282,-1.57093;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12E+06,850793,-0.758973,-1.5716;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558121,555629,-0.0439318,1.57193;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395096,219102,1.19238,1.5726;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851473,597803,-0.888767,-1.57285;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.79E+06,769203,-1.48853,1.57294;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04E+06,935034,0.448011,-1.57406;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650520,625467,-0.275286,1.57414;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.18E+06,868477,0.799071,-1.57474;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429305,416483,-0.160421,-1.57684;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694261,510041,-0.821545,-1.57698;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823954,681464,0.620385,1.57726;j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
